Source;Target;Weight
1;509;0.145411006774
1;21;0.1391766099324
1;486;0.135711709469
1;615;0.1273357994639
21;181;0.1995159277842
21;194;0.1904744097332
21;155;0.1832372099546
21;106;0.183080136985
106;156;0.4582756872244
106;5;0.4559773505087
106;114;0.4088876525759
106;526;0.398902624686
155;181;0.5336883815753
155;194;0.4330279775761
155;205;0.4309229526424
155;286;0.357955991047
181;155;0.5336883815753
181;205;0.4342253427766
181;194;0.3778475345763
181;758;0.3545791750155
194;205;0.6402168595344
194;155;0.4330279775761
194;181;0.3778475345763
194;207;0.3685016110108
256;247;0.4546115417655
256;469;0.3959746878446
256;286;0.368198381168
256;714;0.3669244340221
311;302;0.4490598440616
311;357;0.4148215006383
311;679;0.2991243819385
311;615;0.2946282842803
402;351;0.4714513420811
402;422;0.4519154154959
402;729;0.4439146068934
402;387;0.4190357945586
404;415;0.5764726528625
404;436;0.4780926542903
404;453;0.4670376076728
404;454;0.4403263314123
454;453;0.5574049080809
454;415;0.5271840248049
454;414;0.4885042749627
454;436;0.4662532061932
475;509;0.3829481112352
475;486;0.3801129648493
475;484;0.3356481333705
475;429;0.3089282930179
484;745;0.4803185511485
484;509;0.4692211167862
484;466;0.4480599293723
484;486;0.4470729996352
485;749;0.6038453481968
485;501;0.583916950636
485;466;0.5686050095497
485;493;0.5493929789348
486;509;0.5114853778619
486;484;0.4470729996352
486;454;0.4325994314128
486;475;0.3801129648493
509;486;0.5114853778619
509;484;0.4692211167862
509;404;0.4383569798303
509;485;0.4364113419724
615;641;0.2961846194844
615;311;0.2946282842803
615;402;0.2791731144655
615;256;0.2782468946158
641;685;0.411274365725
641;305;0.3728551260809
641;161;0.3003326824602
641;615;0.2961846194844
